q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
269.786,70.000,-33.745,-55.683,-96.929,-160.492,a_1,-1.461,-1.172,-0.052,-0.040,0.534,-1.613,-0.361,-1.765,0.958,0.973,1.442,-0.461,-0.002,1.761,0.133,-0.442,-2.271,-0.179,0.607,6.020,-3.033,1.016,1.706,-0.000,-0.000
-76.994,84.170,0.000,-91.374,-94.388,355.516,a_1,-1.452,-1.624,0.201,0.153,0.724,-0.462,-0.122,-4.924,1.067,1.242,1.224,0.961,-1.138,1.747,-3.834,-0.478,-3.555,0.807,0.791,2.503,-2.968,0.865,1.872,-0.000,-0.000
268.991,51.183,-3.462,-121.099,-95.000,309.660,a_1,-1.451,-0.576,-0.847,-0.647,0.243,-1.705,-0.317,-0.397,0.101,-0.037,1.104,-2.579,-0.667,1.819,-3.225,-0.403,-2.039,-0.025,0.616,5.609,-2.590,0.928,1.737,0.000,-0.000
269.219,51.603,16.306,-122.548,-95.000,282.237,a_1,-1.451,-1.131,-0.795,-0.607,0.472,-2.195,-0.338,-0.989,0.327,-0.046,1.200,-2.240,-1.181,1.831,-5.159,-0.379,-1.687,0.026,0.670,4.429,-2.452,0.760,1.803,-0.000,-0.000
-69.000,87.219,0.159,-87.104,179.995,338.816,a_1,-1.450,-0.773,-0.742,-0.567,-0.113,-3.598,-0.975,-4.261,1.185,0.686,1.175,-0.063,-1.247,1.755,-5.321,-0.088,-0.693,3.170,0.873,1.431,2.276,1.150,1.956,0.000,-0.000
-65.325,66.828,9.635,-93.452,-92.654,-69.064,a_1,-1.450,-1.278,0.381,0.291,0.619,-0.710,0.095,-3.746,1.005,0.744,1.320,0.244,-0.923,1.816,-3.964,-0.370,-3.660,2.108,0.696,3.922,-0.332,2.029,1.826,0.000,-0.000
261.868,54.147,16.107,-101.354,-93.983,260.686,a_1,-1.449,-1.395,-0.332,-0.254,0.593,-2.783,-0.443,-1.906,0.702,0.674,1.386,-0.689,-1.101,1.832,-3.785,-0.375,-1.245,-0.492,0.658,4.956,-2.994,0.424,1.757,0.000,-0.000
229.596,45.000,-149.601,24.697,-90.167,56.193,a_1,-1.446,-0.232,0.205,0.157,0.122,-2.311,-0.837,-0.433,0.158,0.279,1.046,-2.462,-1.094,0.030,-3.029,0.123,0.370,-1.497,0.468,5.424,0.121,-1.031,1.560,0.000,-0.000
269.416,62.544,-25.717,-118.245,-94.954,-117.969,a_1,-1.443,-1.005,-1.120,-0.856,0.140,-1.570,-0.305,0.710,0.005,-0.490,0.824,-4.723,-0.789,1.657,-4.232,-0.390,-1.611,-0.022,0.726,4.071,-2.657,0.697,1.817,0.000,-0.000
-77.121,70.119,0.000,-72.945,-72.723,251.567,a_1,-1.443,-0.816,0.159,0.121,0.451,-0.076,0.216,-3.697,1.206,0.923,1.281,0.434,-0.715,1.812,-2.876,-0.506,-3.901,0.775,0.694,4.253,-2.962,1.353,1.795,0.000,-0.000
